"Name","Day Number","Day of Week","Breakfast","Lunch","Dinner","Snack / Notes","Status"
"Day 11","11","Thursday","Protein smoothie: unsweetened almond milk, whey/isolate, avocado, spinach, MCT oil","Grilled chicken with avocado salsa and side salad","Trout or mackerel with roasted Brussels sprouts in olive oil","Beef jerky (no sugar)","Not started"
"Day 12","12","Friday","Bacon, eggs & sautéed kale in coconut oil","Tuna-stuffed avocado halves with lemon & herbs","Lamb meatballs in olive oil with zucchini noodles & tomato (minimal)","Handful of pecans","Not started"
"Day 13","13","Saturday","Cheese omelette with spinach and leftover sausage","Cobb-style bowl: ground beef, egg, avocado, cheese, olive oil","Chicken drumsticks roasted with olive oil + garlic broccoli","Celery + cream cheese","Not started"
"Day 14","14","Sunday","Full-fat Greek yogurt with hemp seeds, walnuts & stevia if desired","Shrimp avocado salad with olive oil, lime & cilantro","Sirloin steak with cauliflower rice stir-fried in coconut oil","Hard-boiled eggs","Not started"
"Day 15","15","Monday","Scrambled eggs with smoked trout, cream cheese & dill","Leftover chicken salad with mayo, celery & lettuce cups","Baked chicken thighs with asparagus & garlic butter","Macadamia nuts or Brazil nuts","Not started"
"Day 16","16","Tuesday","Egg & cheese scramble with avocado and cherry tomatoes","Salmon salad (canned or leftover) over mixed greens with olive oil","Pork belly or belly slices with sautéed cabbage & apple cider vinegar","Cheese + olives","Not started"
"Day 17","17","Wednesday","Chia-coconut pudding with pumpkin seeds and cinnamon","Beef & broccoli (coconut aminos, garlic, ginger) over cauliflower rice","Cod or haddock baked in olive oil with green salad","Almond butter on celery","Not started"
"Day 18","18","Thursday","Omelette with goat cheese, spinach and prosciutto","Turkey avocado roll-ups with mustard + side salad","Ribeye or NY strip with buttered green beans","Pork rinds","Not started"
"Day 19","19","Friday","Bacon & fried eggs with sautéed mushrooms","Greek salad (no croutons): feta, olives, cucumber, tomato, olive oil + grilled chicken","Lamb chops with mint & olive oil + roasted zucchini","A few berries + cream","Not started"
"Day 20","20","Saturday","Protein shake (almond milk + protein powder + MCT + spinach) + boiled eggs","Sardine or mackerel salad with avocado and arugula","Chicken thighs with pesto cauliflower & olive oil","Nuts of choice","Not started"
"Day 21","21","Sunday","Smoked salmon & cream cheese roll-ups with cucumber","Ground beef taco bowl (lettuce, cheese, avocado, sour cream, salsa) – no shell","Baked salmon with lemon butter + steamed asparagus","Bone broth","Not started"
"Day 22","22","Monday","3-egg omelette with cheddar, bacon bits & spinach","Chicken salad (mayo + herbs) in lettuce boats + olives","Steak tips with mushrooms in butter sauce + side salad","Macadamias","Not started"
"Day 23","23","Tuesday","Full-fat cottage cheese bowl with olive oil, salt, pepper & herbs","Grilled shrimp with avocado and cucumber salad","Pork chops with cauliflower mash and green beans","Cheese crisps","Not started"
"Day 24","24","Wednesday","Fried eggs over sautéed kale and avocado","Leftover steak or chicken over greens with olive oil dressing","Baked cod with garlic-herb butter + Brussels sprouts","Hard-boiled eggs or jerky","Not started"
"Day 25","25","Thursday","Chia pudding (coconut milk) + almond butter swirl","Tuna avocado boats with mayo and spices","Chicken drumsticks with roasted low-carb veggies in olive oil","Olives + Parmesan","Not started"
"Day 26","26","Friday","Bacon, eggs, and sliced avocado with everything seasoning","Cobb salad variation: turkey, egg, bacon, avocado, blue cheese","Grass-fed burger patties with cheese, lettuce wrap + side salad","Nuts","Not started"
"Day 27","27","Saturday","Greek yogurt with chia, flax & a few blueberries","Salmon or trout over arugula with olive oil & lemon","Lamb or beef kebabs with zucchini and olive oil marinade","Celery + almond butter","Not started"
"Day 28","28","Sunday","Egg muffins (spinach, cheese, sausage) – reheated","Shrimp lettuce wraps with mayo-based sauce + avocado","Ribeye or strip steak with buttered broccoli","Dark chocolate (85%+) square","Not started"
"Day 29","29","Monday","Smoked salmon plate with eggs, cream cheese, cucumber","Chicken Caesar (no croutons) with extra Parmesan & anchovy","Pork tenderloin with green beans and almond butter drizzle","Cheese + olives","Not started"
"Day 30","30","Tuesday","Omelette with leftover veggies, cheese and olive oil","Beef stir-fry leftovers or fresh with cauliflower rice","Baked salmon or fatty fish with asparagus and olive oil","Handful of mixed nuts","Not started"
"Day 31","31","Wednesday","Scrambled eggs with feta, spinach and avocado","Tuna salad lettuce cups + side of olives and cheese","Chicken thighs (skin-on) roasted with Brussels sprouts in olive oil","Bone broth or herbal tea with MCT","Not started"
